央视频道,#genre#
CCTV3 综艺,http://111.160.17.2:59901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3 综艺,http://gzly.hkychina.com:6001/rtp/239.252.219.252:5140?Cf=cfss.cc
CCTV3 综艺,http://121.27.126.103:809/hls/3/index.m3u8
CCTV3 综艺,http://121.27.126.129:809/hls/3/index.m3u8
CCTV3 综艺,http://121.27.126.107:809/hls/3/index.m3u8
CCTV-4 中文国际,http://centos.yjxfz.com:80/ShenQiHelper/tv/play/Y0o1RTNxK3N2T0NIUENmMzNLMEJGZUUySXpFdWYvL0R4YkNmVVhTamJWcjJEczE2NWxSZjJjMzN0bkh4aElZTjVYTzdBNXk4di9tbHovQ1hBS3dNM2k4RlhYcWQxVnpPUkVyeU9LWkFVcWx2YU5melZDUVV2VUNuVGljQmNIWHdERmREc1l0TUwrZz0=/VACYlPAXIvizVAezpDxuhA==/txt/0$IPV4_源1
CCTV-4 中文国际,http://centos.yjxfz.com:80/ShenQiHelper/tv/play/bHJISHhtajJnUmZLaVI4Q0hWSkQ4VnNlZ29TYi9DbVo5NGlpL1NJK3NzSzJ0K09uOVUrZ0lwWmJGR09MeUdnQ1FZd2RzeUw3N1lhclhoaEVLWEZwL2JxMHk4KytKVEtw/VACYlPAXIvizVAezpDxuhA==/txt/0$IPV4_源2
CCTV-4 中文国际,http://centos.yjxfz.com:80/ShenQiHelper/tv/play/bHJISHhtajJnUmZLaVI4Q0hWSkQ4VnNlZ29TYi9DbVo5NGlpL1NJK3NzSzJ0K09uOVUrZ0luSXk4WWk2VTZ6ZmcyWitMY3UvenlQcDhzQk5yd3dMeVVBbmVTcFpCVSsw/VACYlPAXIvizVAezpDxuhA==/txt/0$IPV4_源3
CCTV-4 中文国际,http://centos.yjxfz.com:80/ShenQiHelper/tv/play/bHJISHhtajJnUmR6TXlKS1RDbHdReEY2cmJRbnBTc0JaT1licHdSNGtRV3ZJU25Wc2hhOEtkeEhxZHFrVkNLK0FmL0daSVhDeGczWFV6bGx6TzBKaHc9PQ==/VACYlPAXIvizVAezpDxuhA==/txt/0$IPV4_源4
CCTV-4 中文国际,http://centos.yjxfz.com:80/ShenQiHelper/tv/play/bHJISHhtajJnUmZLaVI4Q0hWSkQ4VnNlZ29TYi9DbVo5NGlpL1NJK3NzSzJ0K09uOVUrZ0luSXk4WWk2VTZ6ZlZ4ejNjeUdnK2NvRkRBRmtOa0ZHZEx0OU9DYnJTdEhu/VACYlPAXIvizVAezpDxuhA==/txt/0$IPV4_源5
CCTV-4 中文国际,http://centos.yjxfz.com:80/ShenQiHelper/tv/play/Y0o1RTNxK3N2T0RmTURWTEh3NmZ6ZzZnZ053MW1NQnlpOHVZTnVhazFqRHlMSXAvR1Vmc2RFNzFDY2tnbE9nUFUwNzVwUzMzVWlvTE0vRjRDei9UTWc9PQ==/VACYlPAXIvizVAezpDxuhA==/txt/0$IPV4_源6
CCTV-4 中文国际,http://111.160.17.2:59901/tsfile/live/1000_1.m3u8
CCTV-4 中文国际,http://gd.ikhs.cn:8880/rtp/239.69.1.138:10466
CCTV-4 中文国际,http://gd.ikhs.cn:8880/rtp/239.69.1.231:11028
CCTV-4 中文国际,http://gd.ikhs.cn:8880/rtp/239.69.1.232:11034
CCTV4 中文国际,http://39.134.66.66/PLTV/88888888/224/3221225797/index.m3u8
CCTV4 中文国际,http://110.80.17.38:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4 中文国际,http://111.160.17.2:59901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4 中文国际,http://123.118.51.157:8888/rtp/239.3.1.214:4220
CCTV4 中文国际,http://123.118.51.157:8888/rtp/239.3.1.105:8092
CCTV4 中文国际,http://123.118.51.157:8888/rtp/239.3.1.213:4220
CCTV4 中文国际,http://gzly.hkychina.com:6001/rtp/239.252.219.193:5140?Cf=cfss.ccCCTV-5 体育,http://xingyang.net.cn:4000/udp/225.1.4.159:1195
CCTV-5 体育,http://123.122.162.222:19999/rtp/239.3.1.173:8001
CCTV-5 体育,http://111.74.155.231:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-5 体育,http://111.160.17.2:59901/tsfile/live/1002_1.m3u8
CCTV-5 体育,http://gd.ikhs.cn:8880/rtp/239.69.1.123:10376
CCTV-5 体育,http://www.jeremyoto.com:82/udp/233.50.201.197:5140
CCTV-5 体育,http://110.80.17.38:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5 体育,http://121.27.126.103:809/hls/5/index.m3u8
CCTV5 体育,http://121.27.126.129:809/hls/5/index.m3u8
CCTV5 体育,http://123.118.51.157:8888/rtp/239.3.1.173:8001
CCTV5 体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5 体育,http://gzly.hkychina.com:6001/rtp/239.252.219.198:5140?Cf=cfss.cc
CCTV5 体育,http://gzly.hkychina.com:6001/rtp/239.252.219.236:5140?Cf=cfss.cc
CCTV5+ 体育赛事,http://39.134.66.66/PLTV/88888888/224/3221225507/index.m3u8
CCTV5+ 体育赛事,http://111.160.17.2:59901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+ 体育赛事,http://123.118.51.157:8888/rtp/239.3.1.130:8004

CCTV-5+ 体育赛事,http://centos.yjxfz.com:80/ShenQiHelper/tv/play/U2NaRklDSVpxZG8xdlc4NThpY28yMWdqVmdTY0JnS1lzOFNnQUxmdGUxRDBaVk9sbkZZdU1lM2NQQlBZSXJiOFpCSVJ4b2g2QVJBQWJpamx5S2V5R05NaUYreTZOSHdXVXE1U1ZLdU5OMk5keFl5Z2M5bEQwSUltQldYVTd0dEtOV3R6RUpOQytwT0sveW9DR3VJQlpOTUZhZFlGUStvRQ==/VACYlPAXIvizVAezpDxuhA==/txt/0$IPV6_源5
CCTV-6 电影,http://centos.yjxfz.com:80/ShenQiHelper/tv/play/MlpEUkJnUHUxeUxrZXNiRDlNVCs5V2lRSURnaW5peXd5MDRpSWh0aVdTV08vbDk1UTdaQmRXbDNlUmpQSmdnL0taUFRBNHBDQzRRekZ0Q21KRHNNd1dWYlRxdDFpU3ky/VACYlPAXIvizVAezpDxuhA==/txt/0$IPV4_源1
CCTV-6 电影,http://centos.yjxfz.com:80/ShenQiHelper/tv/play/Y0o1RTNxK3N2T0RiYlA0NFRBNC81RFptWEZuSjY3Q3EzZjhadlA4VFJCODFpWkp3aHRJdm5wMHpDdEVFbWNuWGx1bjNSMnpzWEtzV0EvcWVTdGZXRWc9PQ==/VACYlPAXIvizVAezpDxuhA==/txt/0$IPV4_源2
CCTV-6 电影,http://centos.yjxfz.com:80/ShenQiHelper/tv/play/dDQzNWh4UWkrK3NlSyt0cHJmSTJSZytpcjcyckxJZEFFam9hazF1TjR5b2krYUJVSkNYUi9aaFd3SW5VNThlVUhzdUF0Kzh3eWpHYktKalBYS3kvOE5TamdRdUtrZDFS/VACYlPAXIvizVAezpDxuhA==/txt/0$IPV4_源3
CCTV-6 电影,http://centos.yjxfz.com:80/ShenQiHelper/tv/play/MXRlWWdKaTE5QnhPalBMSHRWM1M3RXhhbVJtOWVPL0s4eXZNenlaUnRXQUMzdXVETndtUU1oV0ZMNWdnd01wMzl4L2ZvUmt3NDRnMnpqVWV0eEI5emc9PQ==/VACYlPAXIvizVAezpDxuhA==/txt/0$IPV4_源4
CCTV-6 电影,http://centos.yjxfz.com:80/ShenQiHelper/tv/play/MXRlWWdKaTE5QndXc2ZsVm9uelBaNnNLUXVoT09rU2VwdVVWLzVObURyV2UrUnh1dFVOVFY0c0U2ZHRmdUtQdUFqbGpUcFFmNm1WaFhTUks4R045cDhRaXdDaVVwSVpi/VACYlPAXIvizVAezpDxuhA==/txt/0$IPV4_源5
CCTV-6 电影,http://centos.yjxfz.com:80/ShenQiHelper/tv/play/bHJISHhtajJnUmZLaVI4Q0hWSkQ4VnNlZ29TYi9DbVo5NGlpL1NJK3NzSzJ0K09uOVUrZ0lpL0M3cVZlS3cvbUlxNW1ydnFoMVROZDZhbmFPU1J5c1Jjdms3Q09ZbS9y/VACYlPAXIvizVAezpDxuhA==/txt/0$IPV4_源6
CCTV-6 电影,http://centos.yjxfz.com:80/ShenQiHelper/tv/play/NWcrMVpGMFF4czVBb2JVU3U1RGdpZC9mU215MXB5VkhUV2RWa2gvZGdHdlp0QUtOQ2k2M08wbnhvVVA4TmNEMkVqM1VMK29aYkZXcnZZRitrZmRuYkw5RHc1U1ViTCs2/VACYlPAXIvizVAezpDxuhA==/txt/0$IPV4_源7
CCTV-6 电影,http://centos.yjxfz.com:80/ShenQiHelper/tv/play/MXRlWWdKaTE5QnlyU2Y3clpSbnV6am0weEREdFRBU2pIdWx6Tll6MmVqcG5UbjMrM3dWN0dZYUZZQlFpWlVNOVFoOUtFTHM1QXNVOEg2MkxrMHIyWWc9PQ==/VACYlPAXIvizVAezpDxuhA==/txt/0$IPV4_源8
CCTV-6 电影,http://centos.yjxfz.com:80/ShenQiHelper/tv/play/MXRlWWdKaTE5QnhHemdKRVl2UlN5RysvbjZhNGdSNm9YVlRldjFIWEtCMXF3bnJtaG0waFg1OU1OdEV1azJZcml1MzBGSlYrNGRkMWg0Y2sraFVKdUE9PQ==/VACYlPAXIvizVAezpDxuhA==/txt/0$IPV4_源9
CCTV-6 电影,http://centos.yjxfz.com:80/ShenQiHelper/tv/play/dDQzNWh4UWkrK3RaUSt6Y2p4OUYyWkd1L2x1elFPVmxscnM4SjhSODdsMGhwSFl3WVBPL2dtOFdYS2p4aUpLL0lUU3VZdzJQdlQyQ3JDQmFsVlhFdGc4T0QxaXlVUTI0/VACYlPAXIvizVAezpDxuhA==/txt/0$IPV4_源10
